"Sell", "List", "Living", "Rooms", "Beds", "Baths", "Age", "Acres", "Taxes"
142, 160, 28, 10, 5, 3,  60, 0.28,  3167
175, 180, 18,  8, 4, 1,  12, 0.43,  4033
129, 132, 13,  6, 3, 1,  41, 0.33,  1471
138, 140, 17,  7, 3, 1,  22, 0.46,  3204
232, 240, 25,  8, 4, 3,   5, 2.05,  3613
135, 140, 18,  7, 4, 3,   9, 0.57,  3028
150, 160, 20,  8, 4, 3,  18, 4.00,  3131
207, 225, 22,  8, 4, 2,  16, 2.22,  5158
271, 285, 30, 10, 5, 2,  30, 0.53,  5702
 89,  90, 10,  5, 3, 1,  43, 0.30,  2054
153, 157, 22,  8, 3, 3,  18, 0.38,  4127
 87,  90, 16,  7, 3, 1,  50, 0.65,  1445
234, 238, 25,  8, 4, 2,   2, 1.61,  2087
106, 116, 20,  8, 4, 1,  13, 0.22,  2818
175, 180, 22,  8, 4, 2,  15, 2.06,  3917
165, 170, 17,  8, 4, 2,  33, 0.46,  2220
166, 170, 23,  9, 4, 2,  37, 0.27,  3498
136, 140, 19,  7, 3, 1,  22, 0.63,  3607
148, 160, 17,  7, 3, 2,  13, 0.36,  3648
151, 153, 19,  8, 4, 2,  24, 0.34,  3561
180, 190, 24,  9, 4, 2,  10, 1.55,  4681
293, 305, 26,  8, 4, 3,   6, 0.46,  7088
